0, 646.253
8, 649.932
16, 652.941
24, 655.799
32, 658.5
40, 660.678
48, 662.87
56, 664.892
64, 666.926
72, 668.414
80, 669.721
88, 671.033
96, 672.35
104, 673.483
112, 674.62
120, 675.761
128, 676.715
136, 677.48
144, 678.438
152, 679.207
160, 679.977
168, 680.75
176, 681.33
184, 681.911
192, 682.688
200, 683.077
208, 683.661
216, 684.247
224, 684.637
232, 685.029
240, 685.616
248, 686.009
256, 686.401
264, 686.598
272, 686.991
280, 687.385
288, 687.582
296, 687.977
304, 688.175
312, 688.57
320, 688.768
328, 688.966
336, 689.164
344, 689.362
352, 689.56
360, 624.05
368, 689.957
376, 625.352
384, 626.169
392, 690.553
400, 627.973
