0, 646.253
8, 647.3
16, 648.175
24, 648.877
32, 649.58
40, 650.108
48, 650.638
56, 650.991
64, 651.522
72, 651.699
80, 652.053
88, 652.231
96, 652.408
104, 652.763
112, 652.941
120, 653.119
128, 653.297
136, 653.297
144, 653.475
152, 653.653
160, 653.653
168, 653.831
176, 654.01
184, 654.01
192, 654.01
200, 654.188
208, 654.188
216, 654.367
224, 654.367
232, 654.367
240, 654.367
248, 654.545
256, 654.545
264, 654.545
272, 654.545
280, 654.545
288, 654.545
296, 654.724
304, 654.724
312, 654.724
320, 654.724
328, 654.724
336, 654.724
344, 654.724
352, 654.724
360, 654.724
368, 654.724
376, 654.724
384, 654.724
392, 654.724
400, 654.724
