0, 646.253
8, 645.731
16, 645.557
24, 645.21
32, 645.036
40, 644.689
48, 644.516
56, 644.343
64, 644.343
72, 643.997
80, 643.997
88, 643.824
96, 643.824
104, 643.651
112, 643.651
120, 643.478
128, 643.478
136, 643.478
144, 643.478
152, 643.306
160, 643.306
168, 643.306
176, 643.306
184, 643.306
192, 643.306
200, 643.306
208, 643.133
216, 643.133
224, 643.133
232, 643.133
240, 643.133
248, 643.133
256, 643.133
264, 643.133
272, 643.133
280, 643.133
288, 643.133
296, 643.133
304, 643.133
312, 643.133
320, 643.133
328, 643.133
336, 643.133
344, 643.133
352, 643.133
360, 643.133
368, 643.133
376, 643.133
384, 643.133
392, 643.133
400, 643.133
